Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Return on Equity","Return on Investment","% Away From 52W High","6M Return","Debt to Equity","Earning Power","Long Term Debt to Equity","5Y Historical Revenue Growth","1Y Forward Revenue Growth","Sector PE"," MF Holding Change – 6M","FII Holding Change – 6M","Percentage Buy Reco’s","No. of analysts with buy reco","Fundamental Score","Total Revenue","Earnings Per Share"
Jaiprakash Associates Ltd,JPASSOCIAT,"Conglomerates","1816.4007735999999","-1.228941945034573","-35.61831177396993","1.639735735758961","91.21621621621621","-32.11009174311926","1242.117999688586",,"1028.6714330201896","-11.67394760144277",,"43.29238706887016","0","0.22723441324127847",,"0","2.7350000000000003","7474.25","-6.02"
Gallantt Ispat Ltd,GALLISPAT,"Iron & Steel","1811.3440188","14.677449305566796","11.449220235831124","9.255372245506328","18.47233047544816","25.661116552399626","28.285619057643054","9.027686827147244","8.655229274111495","13.627181778504793",,"11.33587913952648","0","-0.0001321005272971396",,"0","6.184939759036144","1100.19","4.370650421914213"
Matrimony.Com Ltd,MATRIMONY,"Online Services","1807.52686077","33.72880874734092","16.58461162875858","14.114114114114104","53.9826373487105","-13.148046230049536","22.677554120774783","17.058407705222233","18.18078237751614","8.743454926629113","12.968803366478275","-169.74697092419598","-1.2702352095529488","0.05531496932665192","50","1","6.075","452.44","23.42"
Genesys International Corporation Ltd,GENESYS,"IT Services & Consulting","1806.643823335","134.72362590119295","-15.299884145798059","-14.974609742335902","14.975172053314733","102.52293577981655","4.283528811830698",,"2.012317106656729","12.764332873836715",,"25.15195670547271","-0.000032184641226375155","-0.9609241415986016",,"0","4.195833333333334","123","4.28"
Shanthi Gears Ltd,SHANTIGEAR,"Auto Parts","1794.000222405","42.241587530138894","8.661298980139565","8.607093155653022","12.251443232841574","51.70288679857281","0","18.047446376989743","0","12.19695527598834",,"116.53524013940141","0.061104710652177714","-1.7554689771878054",,"0","7.190196078431374","346.12","5.54"
Cantabil Retail India Ltd,CANTABIL,"Apparel & Accessories","1789.914027","47.041104520367924","7.971253923674172","9.595832985153603","15.238312428734325","32.30147236302196","189.40749697702543","19.497911854599753","155.1632406287787","20.447008397834775",,"116.53524013940141","0","0.060204777086760045",,"0","5.809183673469388","398.58","23.31"
Swaraj Engines Ltd,SWARAJENG,"Tractors","1780.9859389","16.267683037084364","37.34925373134337","35.84140277414297","29.72042277531537","-10.124410124410126","0","31.849411560718753","0","10.928742550128035","12.164568817818402","43.29238706887016","-0.04283965458867556","0.37163619720379115","33.3333333333333","1","6.716666666666668","1147.8100000000002","90.17241355879148"
Alembic Ltd,ALEMBICLTD,"Pharmaceuticals","1773.0785223399998","20.571742920756463","18.45666849704448","14.939211512595163","101.81028240405503","-37.2557928214448","0.012189653596165483","4.078523512221042","0","-1.23486148610652",,"32.92951730870654","-0.20465116402240202","-0.10586769403323992",,"0","5.101333333333333","167.4","8.65"
Marksans Pharma Ltd,MARKSANS,"Pharmaceuticals","1772.3283123400001","9.487838931156316","30.690846397807636","26.241950077172834","116.16628175519632","-29.36378466557912","3.7664991439774673","20.852003323937236","1.0294361296736068","14.636383123755547","6.358902604506571","32.92951730870654","0.12215569682693594","0.8214056886999179","100","1","4.997333333333333","1532.69","4.51"
Insecticides (India) Ltd,INSECTICID,"Fertilizers & Agro Chemicals","1769.9506227000002","16.47385166325389","12.10223502200233","10.921787102799698","2.4526198439241975","24.773960216998198","12.243106852921818","10.379746835443049","0.6009410273287984","8.542747540316654","15.279830952726043","11.33587913952648","-0.7391232801762389","0.3567422909441369","50","3","5.892592592592592","1508.64","54.17"
Pilani Investment And Industries Corporation Ltd,PILANIINVS,"Asset Management","1762.4333524999997","8.750475907353158","1.2921148906047275","0.9067412199023368","41.35385581906705","-15.054566800971259","8.224473094785065","1.7320859418692411","4.010551303581473","49.447348960714606",,"18.361570903897096","0","0.020230757072862315",,"0","5.765217391304347","257.79","181.92"
Astra Micro Wave Products Ltd,ASTRAMICRO,"Communication & Networking","1724.43844925","45.53573935172955","5.250944168903856","8.013230429988976","45.655449522852834","-16.58986175115207","21.755861822086985","7.54249928594853","0","13.8416727552374","18.00796601458485","25.15195670547271","-1.3856007287701109","0.36849766500878745","100","1","5.100000000000001","756.84","4.37"
GTPL Hathway Ltd,GTPL,"Cable & D2H","1717.31059026","8.600744179195683","19.215112642306526","17.136225388186315","105.56647020301244","-42.301152465520495","10.998578535891971","13.249571176065958","3.085465529495381","21.136356497574393","4.1256889679791975","-169.74697092419598","-0.15881128873648254","0.16674722943194986","50","1","7.471428571428572","2456.66","17.754277632087422"
Datamatics Global Services Ltd,DATAMATICS,"IT Services & Consulting","1716.8994401249997","10.902333249460247","11.20737508519714","11.483435783060449","31.296137339055786","-5.315344603381021","2.8060118839566583","21.4672716060259","1.4680181754631247","7.25204241760502",,"25.15195670547271","0","0.51564108346121",,"0","4.916666666666667","1236.05","26.71"
Manali Petrochemicals Ltd,MANALIPETC,"Specialty Chemicals","1708.8123401149999","4.484012543270619","34.6589734757148","29.664093109011308","50.6290890790136","-12.927256792287467","2.100123536678628","58.64391102287596","0","21.232185447074905",,"11.33587913952648","0","1.0991246943322057",,"0","5.569736842105263","1689.81","22.16"
Camlin Fine Sciences Ltd,CAMLINFINE,"Specialty Chemicals","1707.00301652","28.126594439281693","8.686832527892125","7.397379566955624","112.327506899724","-20.044133872747324","77.12014134275617","8.794761778880359","39.49885018789613","21.381301663991657","17.8749538538326","11.33587913952648","-3.938114657584798","5.490241414091608","100","2","3.0868421052631585","1445.12","4.65"
Unichem Laboratories Ltd,UNICHEMLAB,"Pharmaceuticals","1702.05900625","51.49951607413009","1.349401947258161","1.4742538108246535","42.70941054808686","-3.7236160892074848","4.658111802505446","0.9019864910893891","0.5596774130466241","8.334336301744493",,"32.92951730870654","0","-0.059774947358703034",,"0","4.257333333333333","1317.34","4.7"
Kewal Kiran Clothing Ltd,KKCL,"Apparel & Accessories","1699.930728225","20.827379664604262","4.50629857641932","5.5519622775355275","5.854631140112376","19.64866623292128","10.728889915675175","18.865396836301805","0","5.23516332685654",,"116.53524013940141","-3.743579836717731","-7.852935451633938","75","3","6.140816326530612","624.63","13.25"
Tide Water Oil Co India Ltd,TIDEWATER,"Commodity Chemicals","1699.5709743","13.827768076641437","19.945384110586595","19.042193813340397","268.8555572221389","-33.09135918107919","2.483164983164983","15.542313422076992","0.07467144563918766","6.09156196447751",,"11.33587913952648","-0.000005739210284664831","0.14361799816345255",,"0","5.738181818181818","1565.63","72.32"
Mrs. Bectors Food Specialities Ltd,BECTORFOOD,"FMCG - Foods","1697.99843275","29.71645839604482","19.260127619326774","14.589287933391349","60.755109109802575","-24.325032765399744","30.617971014492753","12.155555881791615","26.854492753623187","11.010964843553905","18.68737154324192","43.68248406554839","-0.9455054359984816","0.08941780759034668","100","4",,"994.49","9.72"
MSTC Ltd,MSTCLTD,"Commodities Trading","1697.696","8.525138093803356","21.892292633762004","16.970828536934608","124.75637569977192","-28.47397300904641","27.67093825611614","10.479393551142426","0.7742629267855541","-9.745826647149968",,"43.29238706887016","0","0.17733522727272724",,"0","3.5100000000000002","1123.61","28.29"
