Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","% Away From 52W High","ROCE","Debt to Equity","5Y Historical Revenue Growth","Sector PE","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Upside","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price Momentum Rank","Price to Intrinsic Value Rank","Total Revenue","Total Debt","Expense Ratio"
ITC Ltd,ITC,"FMCG - Tobacco","350829.371983585","284.35","23.016282721230105","0.22859152452963105","31.98480878197314","0.39705917700316784","7.015923613102459","42.670964289078235","29","85.2941176470588","17.41074223034735","6.075","87","75","60","67","62521.91999999999","249.44",
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","340354.3068552","5614.4","48.4267456891991","43.381305215161014","6.1768922467418825","356.5846416462681","25.926253842056045","18.157425027422967","17","60.7142857142857","57.29603370058329","5.048","21","29","22","43","31640.41","131645.38",
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","331621.8060496","1667.75","27.792944949081757","35.0921900764503","7.966548717541155",,"11.620357468727871","18.157425027422967","22","56.4102564102564","24.224610198061526","6.534285714285715","25","73","29","22","58882.82",,
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","311048.53754247","1963.65","637.3945441444057","55.322995442161286","13.841450098274732","1138.7111947318908","57.34262738813649","23.036798711378058","0",,,"5","60","3","79",,"5612","24209",
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","267790.75094439497","2400.65","222.30493765151786","24.966154999687575","11.042437210914343","268.99487770955596","34.05185010844409","23.036798711378058","0","0","-36.68313625613972","6.58","30","17","57","1","12543.94","26960.98",
Asian Paints Ltd,ASIANPAINT,"Paints","265999.93513385","2773.15","87.77224585931026","29.45567315147035","27.83523445095482","11.175927471408379","10.857970488840362","11.280902227432499","14","37.8378378378378","19.865594390026715","5.257894736842106","11","60","57","12","29512.86","1586.88",
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","264677.32513835997","975.35","19.60718017174309","41.25698467216896","25.151462192706514","10.820212376418894","12.258124009121163","25.377926607793576","26","63.4146341463415","31.569072694580026","6.006521739130434","56","60","50","67","86718","6501",
Adani Total Gas Ltd,ATGL,"Gas Distribution","262744.6288287","2389","520.6369215485673","14.69233989116785","30.548968856975872","27.35823689408748","22.254341555903643","23.036798711378058","0",,"-54.108884616991936","5.750000000000001","49","32","65","1","3079.31","529.07",
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","254471.05022962","2232.2","548.1572716748517","8.455783531941584","11.54168946788026","84.61761786482398","13.52326531850785","42.94042285274228","0","0","-9.488091651832585","3.69","57","19","82","1","70432.69","16001.2",
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","253825.79121559998","8402.6","65.42744972692377","7.704758051079419","8.744756373023534","1.0302739397264031","5.0461523515520135","115.76793819834823","34","75.5555555555556","3.907469610128968","7","67","78","89","31","90236.4","540.9",
